"Feature","Gain"
"MATS4p",0.000277942562267108
"SPH",0.000277919965725655
"ATSC7e",0.000277807549417644
"R2i",0.000277648864350284
"SpMaxA_AEA.ed.",0.0002774875613748
"G3i",0.0002771804907922
"Eig09_AEA.dm.",0.000275171529446996
"MEcc",0.000273724696407667
"Eig02_EA.dm.",0.000273418349551758
"RDF090p",0.00027254646030909
"SPAM",0.000271769851088092
"P2v",0.000271170098779379
"TDB04e",0.000270465582813139
"RDF020v",0.000266200767506751
"J_D",0.000265521014176584
"E2e",0.000265191274950871
"MLOGP2",0.000264105448845181
"Mor05s",0.000261953361127406
"MATS4i",0.000258943595537043
"Qindex",0.000258537264606644
"Eig13_AEA.bo.",0.000256818405024304
"Mor15m",0.000256581531244712
"TIC2",0.000256559598863934
"E2i",0.000252064032530699
"Eig06_AEA.ri.",0.000251712529362252
"SpMAD_L",0.000251297457933474
"PJI3",0.000251087526048598
"R1u",0.000250621286033917
"TDB08p",0.000250419418383666
"CATS2D_06_LL",0.000250267133478735
"X3Av",0.000250081993286081
"SpMax_B.m.",0.000247532911261918
"RDF015u",0.00024714390406998
"L.Bw",0.000247033181775042
"R6u.",0.000245151883234419
"ATS6v",0.000244552207196482
"Mor12s",0.000244247205810804
"Mor17u",0.000241267615430432
"GATS7p",0.000240934456271752
"E2m",0.00023490649939855
"VR1_G.D",0.000234136022850985
"PW5",0.000233789967332971
"BIC0",0.000232878383644313
"Mor07p",0.00023203745996026
"ON0",0.000231714080017891
"MATS8i",0.00023145662881898
"Mor04m",0.000230827015085436
"Mor23p",0.000229619650570119
"MSD",0.000229030868349955
"Mor22v",0.000227527202879869
"SpMax3_Bh.v.",0.000227393695037415
"G2p",0.000223761208829021
"SpMin2_Bh.v.",0.000221606667844609
"RDF035s",0.000221227326967596
"B04.N.O.",0.000220119786196495
"TDB09u",0.0002195053954788
"TDB07s",0.000219437857220062
"ATSC7v",0.000218390199800429
"SpMAD_EA.dm.",0.000217763498580183
"GATS7e",0.000217559918837046
"RDF065s",0.000217421293059894
"Mor28p",0.000214030312248522
"X0v",0.00021399654367125
"Mor27e",0.000213480687130208
"R1v.",0.000213339457329206
"Mor31m",0.000213055726507746
"Chi_G.D",0.000212150340940225
"MATS7v",0.000211826116338763
"TDB06r",0.000211818346821343
"J_Dz.e.",0.000210332182248732
"RDF010u",0.000209379334303056
"X0Av",0.000208269131844027
"CENT",0.000208263203607217
"VR1_G",0.000207622974384501
"E1e",0.000206781081000488
"H1i",0.000206168894510163
"SpMax3_Bh.s.",0.000206115427257312
"H1m",0.000205768248066544
"Mor11v",0.000204502406864783
"MATS2s",0.000203706859766331
"RDF065m",0.000203674865227393
"Mor10p",0.000203661440772468
"RDF030p",0.000203596778798944
"RTv",0.000203265298233359
"ATSC4m",0.000201274996194131
"Eig12_EA.dm.",0.000201217010234532
"SpMax2_Bh.v.",0.000200884518425225
"H0m",0.000200309078664597
"GATS2i",0.000199493701517846
"Mor13p",0.000198065606694669
"CIC1",0.000197060771594207
"ATS6i",0.000196951665432378
"H6s",0.000194784278672731
"R1u.",0.000194177392042738
"GATS8e",0.000194171496110935
"JGI6",0.000193294016875189
"SpMin3_Bh.i.",0.000192371609668199
"H.",0.000192175800048476
"RDF010p",0.000190131602999661
"MATS1p",0.000190002961950248
"GATS4v",0.000188789565758617
"X1Mad",0.00018873031808064
"ATS5i",0.000188595262909875
"RDF080v",0.000186819093695103
"X5",0.000186207838928809
"SpMax4_Bh.m.",0.000185743741861155
"Vindex",0.000182151184048502
"RDF020m",0.00018083086079069
"SpMaxA_G.D",0.000180150173600258
"HATS4i",0.000179529567611533
"HATS5m",0.000179063457966368
"R4p.",0.000176818530946538
"H5s",0.000176659748128417
